"","text","page","method"
"121","1832               315                W. Locke                             L       216",104,"hathi"
"122","                                      M. Gore                              L       166",104,"hathi"
"123","                                      Sir P.C.H. Durham                    C        94",104,"hathi"
"124","[Resignation of Gore on becoming a Conservative]",104,"hathi"
"125","1834                                  Sir P.C.H. Durham                            Unopp",104,"hathi"
"126","(17/2)",104,"hathi"
"127","1835               311                W. Locke                             L       240",104,"hathi"
"128","                                      Sir P.C.H. Durham                    C       154",104,"hathi"
"129","                                      Hon. P.P. Bouverie                   L        96",104,"hathi"
"130","[Death of Locke]",104,"hathi"
"131","1835               343                T.H.S.B. Estcourt                    C       157",104,"hathi"
"132","(25/11)                               J.W.D. Dundas                        L       145",104,"hathi"
"133","[Resignation of Durham]",104,"hathi"
"134","1836                                  J.W.D. Dundas                                Unopp",104,"hathi"
"135","(10/2)",104,"hathi"
"136","1837               341                J.W.D. Dundas                        L       Unopp",104,"hathi"
"137","                                      T.H.S.B.    Estcourt (Sotheron)      c       Unopp",104,"hathi"
"138","[Appointment of Dundas as Clerk of the Ordnance]",104,"hathi"
"139","1838               266              **J.W.D. Dundas                        L       109",104,"hathi"
"140","(26/3)                               *G.H.W. Heneage                       c       102",104,"hathi"
"141","1841               375'               G.H.W. Heneage                       C       Unopp",104,"hathi"
"142","                                      T.H.S. Sotheron                      c       Unopp",104,"hathi"
"143","[Resignation of Sotheron in order to contest Wiltshire, Northern]",104,"hathi"
"144","1844               385*               W. H.L.Bruges                        C       202",104,"hathi"
"145","(7/2)                                 C. Temple                            L        67",104,"hathi"
"146","1847               389                W.H.L.     Bruges                    C       Unopp",104,"hathi"
"147","                                      G.H.W. Heneage                       C       Unopp",104,"hathi"
"148","[Resignation of Bruges]",104,"hathi"
"149","1848                                  J.B.B. Estcourt                              Unopp",104,"hathi"
"150","(25/2)",104,"hathi"
"151","1852               373                J.N. Gladstone                       C       Unopp",104,"hathi"
"152","                                      G.H.W. Heneage                       C       Unopp",104,"hathi"
"153","1857             319                  S.W.Taylor                           L       230",104,"hathi"
"154","                                      C.D. Griffith                        C       159",104,"hathi"
"155","                                      J.N. Gladstone                       c       118",104,"hathi"
"156","                                                     106",104,"hathi"
"157","",104,"hathi"
"158","                                         DEVIZES        [59]   (Cont.)",105,"hathi"
"159","                                (Two seats until 1868; one seat from 1868)",105,"hathi"
"160","Election             Electors            Candidate                                     Party   Votes",105,"hathi"
"161","1859                 314                 J.N.Gladstone                                 C       171",105,"hathi"
"162","                                         C.D.Griffith                                  C       167",105,"hathi"
"163","                                         S.W.Taylor                                    L       148",105,"hathi"
"164","[Death     of Gladstone]",105,"hathi"
"165","1863                 331                 Hon.W.W.     Addington                        C       170",105,"hathi"
"166","(18/2)                                   J.W. Probyn                                   L        88",105,"hathi"
"167","                                         l.Abrahams                                     L        6",105,"hathi"
"168","[Succession      of Addington to the Peerage — Viscount Sidmouth]",105,"hathi"
"169","1864                                     Sir T. Bateson, Bt.                           C       Unopp.",105,"hathi"
"170","(18/4)",105,"hathi"
"171","1865                 359                 Sir T. Bateson, Bt.                           C       181",105,"hathi"
"172","                                         C.D.Griffith                                  C       152",105,"hathi"
"173","                                         J. Curling                                     L        0",105,"hathi"
"174","1868                 858                 Sir T. Bateson, Bt.                           C       385",105,"hathi"
"175","                                         J.W. Probyn                                   L       321",105,"hathi"
"176","                                         C.D.Griffith                                  C        34",105,"hathi"
"177","1874                 902                 SirT. Bateson, Bt.                            C       396",105,"hathi"
"178","                                         C.D.Griffith                                  C       364",105,"hathi"
"179","                                         S.F.K.Sloper                                  lnd       2",105,"hathi"
"180","1880                 913                 Sir T. Bateson, Bt.                           C       446",105,"hathi"
"181","                                         A.C.M. Thompson                                L      388",105,"hathi"
"182","Petitions:—",105,"hathi"
"183","         1838:       Election of Dundas declared   void. Heneage duly elected after scrutiny",105,"hathi"
"184","         1844:       Withdrawn",105,"hathi"
"185","                                                       107",105,"hathi"
"186","",105,"hathi"
"187","                                         DEVONPORT            [60]",106,"hathi"
"188","                                                (Two Seats)",106,"hathi"
"189","Election        E lectors           Candidate                             Votes",106,"hathi"
"190","1832            1,777               Sir G. Grey, Bt.                  L   1,178",106,"hathi"
"191","                                    Sir E. Codrington                 L    891",106,"hathi"
"192","                                    G. Leach                          L    576",106,"hathi"
"193","1835            1,870               Sir E. Codrington                 L   1,114",106,"hathi"
"194","                                    Sir G. Grey, Bt.                  L     956",106,"hathi"
"195","                                    G.R. Dawson                       C     764",106,"hathi"
"196","1837            2,145               Sir E. Codrington                     Unopp.",106,"hathi"
"197","                                    Sir G. Grey, Bt.                      Unopp.",106,"hathi"
"198","[Appointment of Grey as Judge-Advocate General]",106,"hathi"
"199","1839                                Sir G. Grey, Bt.                      Unopp.",106,"hathi"
"200","(20/2)",106,"hathi"
"201","[Resignation of Codrington]",106,"hathi"
"202","1840            2,121                H. Tufnell                       L    974",106,"hathi"
"203","(24/1)                              G .R . Dawson                     C     750",106,"hathi"
"204","1841            2,131               H. Tufnell                        L    966",106,"hathi"
"205","                                    Sir G. Grey, Bt.                  L    932",106,"hathi"
"206","                                    G.R. Dawson                       C     780",106,"hathi"
"207","[Appointment of Grey as Secretary of State for the Home Department]",106,"hathi"
"208","1846                                Sir G. Grey, Bt.                      Unopp.",106,"hathi"
"209","(10/7)",106,"hathi"
"210","1847            2,343                H. Tufnell                       L   1,136",106,"hathi"
"211","                                    J. Romilly                        L   1,022",106,"hathi"
"212","                                    J.   Sandars                      C    842",106,"hathi"
"213","[Appointment of Romilly as Solicitor-General]",106,"hathi"
"214","1848                                J.   Romilly                          Unopp.",106,"hathi"
"215","(3/4)",106,"hathi"
"216","[Appointment of Romilly as Attorney-General]",106,"hathi"
"217","1850                                Sir   J.   Romilly                    Unopp.",106,"hathi"
"218","(17/7)",106,"hathi"
"219","[Appointment of Romilly as Master of the Rolls]",106,"hathi"
"220","1851                                Sir   J.   Romilly                    Unopp.",106,"hathi"
"221","(2/4)",106,"hathi"
"222","1852            2,407               H. Tufnell                        L   1,079",106,"hathi"
"223","                                    Sir G.H.F. Berkeley               C   1,056",106,"hathi"
"224","                                    Sir J. Romilly                    L   1,046",106,"hathi"
"225","                                    Sir J.H. Maxwell, Bt.             C   1,032",106,"hathi"
"226","                                                    108",106,"hathi"
"227","",106,"hathi"
"228","                                           DEVONPORT           [60]   (Com.)",107,"hathi"
"229","                                                   (Two Seats)",107,"hathi"
"230","Election             E lectors              Candidate                          Party   Votes",107,"hathi"
"231","[Resignation of Tufnell]",107,"hathi"
"232","1854                 2,417                  SirT.E. Perry                      L       1 ,091",107,"hathi"
"233","(11/5)                                      Sir J.H. Maxwell, Bt.              c",107,"hathi"
"234","1857                 2,628                  Sir T.E. Perry                     L       Unopp.",107,"hathi"
"235","                                            J.Wilson                           L       Unopp.",107,"hathi"
"236","1859                 2,759                  J.Wilson                           L       1,216",107,"hathi"
"237","                                            Sir T.E. Perry                     L       1,198",107,"hathi"
"238","                                            W.B. Ferrand                       C       1,075",107,"hathi"
"239","                                            A. Peel                            c       1,039",107,"hathi"
"240","[Appointment of Wilson as Vice-President of the Board of Trade]",107,"hathi"
"241","1859                                        J.Wilson                                   Unopp.",107,"hathi"
"242","(27/6)",107,"hathi"
"243","[Resignation of Perry on appointment as a Member of the Council of lndia]",107,"hathi"
"244","1859                 2,759                  Sir M. Seymour                     L       1,096",107,"hathi"
"245","(9/8)                                       W.B. Ferrand                       C       1,047",107,"hathi"
"246","[Resignation of Wilson]",107,"hathi"
"247","1859                 2,759                  Sir A.W. Buller                    L       1,189",107,"hathi"
"248","(17/8)                                      W.B. Ferrand                       C       1,114",107,"hathi"
"249","[Resignation of Seymour]",107,"hathi"
"250","1863                 2,758                  W.B. Ferrand                       C       1,234",107,"hathi"
"251","(12/2)                                      Hon. F.W. Grey                     L       1,204",107,"hathi"
"252","[Resignation of Buller in order to contest Liskeard]",107,"hathi"
"253","1865                 2/320                  T. Brassey                         L       1,264",107,"hathi"
"254","(22/6)                                      J.Fleming                          c       1,208",107,"hathi"
"255","1865                 2 i320                 J. Fleming                         C       1,307",107,"hathi"
"256","                                            W.B. Ferrand                       C       1,290",107,"hathi"
"257","                                            T. Brassey                         L       1,279",107,"hathi"
"258","                                            T. Phinn                           L       1,243",107,"hathi"
"259","[Election declared     void on petition]",107,"hathi"
"260","1866                 2J320                  Lord Eliot                         L       1,275",107,"hathi"
"261","(22/5)                                      M. Chambers                        L       1,269",107,"hathi"
"262","                                            H.C. Raikes                        C       1,216",107,"hathi"
"263","                                            Hon. R. C.E.Abbot                  C       1,215",107,"hathi"
"264","1868                 3,374                  J.D. Lewis                         L       1341",107,"hathi"
"265","                                            M. Chambers                        L       1319",107,"hathi"
"266","                                            W.B. Ferrand                       C       1,370",107,"hathi"
"267","                                            W. Palliser                        c       1,365",107,"hathi"
"268","                                                         109",107,"hathi"
"269","",107,"hathi"
"270","                                    DEVONPORT              [60]   (Cont.)",108,"hathi"
"271","                                               (Two Seats)",108,"hathi"
"272","Election        Electors               Candidate                            Party   Votes",108,"hathi"
"273","1874            3,348                  J.H. Puleston                        C       1,525",108,"hathi"
"274","                                       G.E.Price                            C       1,483",108,"hathi"
"275","                                       J.D.Lewis                            L       1,327",108,"hathi"
"276","                                       G.S. Symons                          L       1,250",108,"hathi"
"277","1880            3,790                  J.H. Puleston                        C       1,753",108,"hathi"
"278","                                       G.E.Price                            C       1,746",108,"hathi"
"279","                                       J. D.Lewis                           L       1,509",108,"hathi"
"280","                                       A.C. Sellar                          L       1,476",108,"hathi"
"281","Petitions:-",108,"hathi"
"282","       1859:    Withdrawn",108,"hathi"
"283","       (9/8)",108,"hathi"
"284","       1865:    Lapsed     on Dissolution of Parliament",108,"hathi"
"285","       (22/6)",108,"hathi"
"286","       1865:    Void election",108,"hathi"
"287","       1866:    Withdrawn",108,"hathi"
"288","                                                     110",108,"hathi"
"289","",108,"hathi"
"290","                        DEWSBURY         [61]",109,"hathi"
"291","Election   Electors   Candidate                 Party   Votes",109,"hathi"
"292","1868       7,072      J.Simon                   L       3.392",109,"hathi"
"293","                      H. Cossham                L       2,923",109,"hathi"
"294","1874       8JB03      J.Simon                   L       3,706",109,"hathi"
"295","                      J.C. Cox                  L       3,272",109,"hathi"
"296","                      W.H. Colbeck              C         26",109,"hathi"
"297","1880       9,960      J.Simon                   L       3,599",109,"hathi"
"298","                      W. Hoyle                  L       3,254",109,"hathi"
"299","                      A.Austin                  C       1,586",109,"hathi"
"300","                                   111",109,"hathi"
"301","",109,"hathi"
"302","                                         LAMBETH     [6]",10,"hathi"
"303","                                           (Two Seats)",10,"hathi"
"304","Election         Electors    Candidate                     Party   Votes",10,"hathi"
"305","1832              4,768     tC. Tennyson                   L       2,716",10,"hathi"
"306","                             B. Hawes                      L       2,166",10,"hathi"
"307","                             D.Wakefield                   L         819",10,"hathi"
"308","                             J.Moore                       L         155",10,"hathi"
"309","1835              4,435      B. Hawes                      L       2,008",10,"hathi"
"310","                             C. Tennyson (D,Eyncourt)      L       1,995",10,"hathi"
"311","                             C. Farebrother                C        931",10,"hathi"
"312","1837              7,040      B. Hawes                      L       2,934",10,"hathi"
"313","                             C.T. D,Eyncourt               L       2,811",10,"hathi"
"314","                             C. Baldwin                    C       1,624",10,"hathi"
"315","1841              7,731      B. Hawes                      L       2,601",10,"hathi"
"316","                             C.T. D,Eyncourt               L       2,568",10,"hathi"
"317","                             C. Baldwin                    C       1,999",10,"hathi"
"318","                             T. Cabbell                    C       1,763",10,"hathi"
"319","1847             13.885      C. Pearson                    L       4,614",10,"hathi"
"320","                             C.T. D,Eyncourt               L       3,708",10,"hathi"
"321","                             B. Hawes                      L       3,344",10,"hathi"
"322","[Resignation of Pearson]",10,"hathi"
"323","1850             16,284      W.Williams                    L       3334",10,"hathi"
"324","(7/8)                        Sir C. Napier                 L       1,182",10,"hathi"
"325","                             J.H.   Palmer                 L         585",10,"hathi"
"326","1852             18,131      W.A.Wilkinson                 L       4,752",10,"hathi"
"327","                             W.Williams                    L       4,022",10,"hathi"
"328","                             C.T. D,Eyncourt               L       3329",10,"hathi"
"329","1857             20,276      W. Roupell                    L       9,318",10,"hathi"
"330","                            W.Williams                     L       7,648",10,"hathi"
"331","                                                               -",10,"hathi"
"332","                            W.A.Wilkinson                  L       3,234",10,"hathi"
"333","1859             21,737     W. Roupell                     L       Unopp.",10,"hathi"
"334","                            W.Williams                     L       Unopp.",10,"hathi"
"335","[Resignation of Roupell]",10,"hathi"
"336","1862             23.542      F. Doulton                    L       5,124",10,"hathi"
"337","(5/5)                        W.C. Sleigh                   C         754",10,"hathi"
"338","                             W.A. Wilkinson                L         347",10,"hathi"
"339","[Death of Williams]",10,"hathi"
"340","1865                         J.C.   Lawrence                       Unopp.",10,"hathi"
"341","(9/5)",10,"hathi"
"342","1865             27,754     T.    Hughes                   L       6,373",10,"hathi"
"343","                             F. Doulton                    L       6,280",10,"hathi"
"344","                            J.C.    Lawrence               L       4,743",10,"hathi"
"345","                            J.    Haig                     c         514",10,"hathi"
"346","                                             12",10,"hathi"
"347","",10,"hathi"
"348","                                       DORCHESTER            [62]",110,"hathi"
"349","                           (Two seats until 1868; one seat from 1868)",110,"hathi"
"350","Election        Electors             Candidate                           Party   Votes",110,"hathi"
"351","1832            322                 tHon. A.H.A. Cooper                  C       Unopp.",110,"hathi"
"352","                                    tR. Williams (Senr.)                 C       Unopp.",110,"hathi"
"353","1835            318                   Hon. A.H.A. Cooper                 C       Unopp.",110,"hathi"
"354","                                      R. Williams (Junr.)                C       Unopp.",110,"hathi"
"355","1837             397                  Hon. A.H.A. Cooper                 C       Unopp.",110,"hathi"
"356","                                      R.Williams (Junr.)                 C       Unopp.",110,"hathi"
"357","1841             367                 Hon. A.H.A. Cooper                  C       Unopp",110,"hathi"
"358","                                     Sir J.R.G. Graham, Bt.              c       Unopp",110,"hathi"
"359","[Appointment of Graham as Secretary of State for the Home Department ]",110,"hathi"
"360","1841                                  Sir J.R.G. Graham, Bt.                     Unopp",110,"hathi"
"361","(13/9)",110,"hathi"
"362","1847             405                  Hon. G.L.D. Damer                  C       Unopp",110,"hathi"
"363","                                      H.G. Sturt                         C       Unopp",110,"hathi"
"364","1852             432                  R.B. Sheridan                      L       235",110,"hathi"
"365","                                      H.G. Sturt                         c       215",110,"hathi"
"366","                                      Hon. G.L.D. Darner                 c       186",110,"hathi"
"367","[Resignation of Sturt in order to contest Dorset]",110,"hathi"
"368","1856                                  C.N. Sturt                                 Unopp",110,"hathi"
"369","(22/7)",110,"hathi"
"370","1857             451                  R.B. Sheridan                      L       Unopp",110,"hathi"
"371","                                      C.N. Sturt                         C       Unopp",110,"hathi"
"372","1859             442                  R.B. Sheridan                      L       Unopp",110,"hathi"
"373","                                      C.N. Sturt                         C       Unopp",110,"hathi"
"374","1865             432                  C.N. Sturt                         C       268",110,"hathi"
"375","                                      R.B. Sheridan                      L       255",110,"hathi"
"376","                                      Sir H.D.Wolff                      C       103",110,"hathi"
"377","1868             628                  C.N. Sturt                                 Unopp",110,"hathi"
"378","1874                                  W.E. Brymer                        C       353",110,"hathi"
"379","                                      F.F.   Head                        L       233",110,"hathi"
"380","1880             817                  W.E. Brymer                        C       374",110,"hathi"
"381","                                      Hon. A.W.F. Greville               L       332",110,"hathi"
"382","                                                    112",110,"hathi"
"383","",110,"hathi"
"384","                                            DOVER         [63]",111,"hathi"
"385","                                             (Two Seats)",111,"hathi"
"386","Election        Electors             Candidate                   Party   Votes",111,"hathi"
"387","1832            1,651               tC. P. Thomson               L        713",111,"hathi"
"388","                                     Sir J.R. Raid, Bt.          C        644",111,"hathi"
"389","                                     J.   Halcomb                C        523",111,"hathi"
"390","                                   tR.H. Stanhope                L        498",111,"hathi"
"391","[Thomson elects to sit for Manchester]",111,"hathi"
"392","1833            1,651                J.Halcomb                   C        734",111,"hathi"
"393","(7/3)                                R.H. Stanhope               L        665",111,"hathi"
"394","1835            1,564                J.M.Fector                  C        908",111,"hathi"
"395","                                     Sir J.R.Reid, Bt.           C         782",111,"hathi"
"396","                                     E.R. Rice                   L         761",111,"hathi"
"397","1837            1,677                E.R.Rice                    L        854",111,"hathi"
"398","                                     Sir J.R. Reid, Bt.          C        829",111,"hathi"
"399","                                     J.M.Fector                  C        742",111,"hathi"
"400","1841            1 857                Sir J.R. Reid, Bt.          C       1,000",111,"hathi"
"401","                                     E.R. Rice                   L        960",111,"hathi"
"402","                                     J. Halcomb                  C        536",111,"hathi"
"403","                                     A.Galloway                  L        281",111,"hathi"
"404","1847            2,060                E.R.Rice                    L       1,104",111,"hathi"
"405","                                     Sir G. Clerk, Bt.           C         932",111,"hathi"
"406","                                     H. T. Prinsep               C         897",111,"hathi"
"407","1852            2,064                Viscount Chelsea            C       1,097",111,"hathi"
"408","                                     E.R. Rice                   L        898",111,"hathi"
"409","                                     Sir G. Clerk, Bt.           C        781",111,"hathi"
"410","1857            2,024                R.B.Osborne                 L        989",111,"hathi"
"411","                                     Sir W. Russell, Bt.         L        958",111,"hathi"
"412","                                     Sir G. Clerk, Bt.           C        695",111,"hathi"
"413","                                     G.W.Hope                    C        574",111,"hathi"
"414","1859            2,038               Sir H.J. Leeke               C        931",111,"hathi"
"415","                                    W. Nicol                     C        902",111,"hathi"
"416","                                    Sir W. Russell, Bt.          L        788",111,"hathi"
"417","                                    R.B.Osborne                  L        752",111,"hathi"
"418","1865            2,318                A.G.Dickson                 C       1,026",111,"hathi"
"419","                                     C.K. Freshfield             C       1,012",111,"hathi"
"420","                                     Viscount Bury               L         903",111,"hathi"
"421","                                     T.E. Smith                  L         892",111,"hathi"
"422","1868            3,392                A.G.Dickson                 C       1,461",111,"hathi"
"423","                                     G.Jessel                    L       1-435",111,"hathi"
"424","                                     C.K. Freshfield             C       1 .387",111,"hathi"
"425","                                     l. Abrahams                 L",111,"hathi"
"426","                                                    113",111,"hathi"
"427","",111,"hathi"
"428","                                       DOVER         [63]   (Cont.)",112,"hathi"
"429","                                                (Two Seats)",112,"hathi"
"430","Election         E lectors             Candidate                      Party   Votes",112,"hathi"
"431","[Appointment of Jessel as Solicitor -General]",112,"hathi"
"432","1871             3,443                 G. Jessel                      L       1,235",112,"hathi"
"433","(25/11)                                E.W. Barnett                   C       1,144",112,"hathi"
"434","[Resignation of Jessel on appointment as Master of the Rolls]",112,"hathi"
"435","1873             3,563                 E.W. Barnett                   C       1,415",112,"hathi"
"436","(23/9)                                 J.S. Forbes                    L       1,089",112,"hathi"
"437","1874             3,714                 C.K. Freshf ield               C       1 ,595",112,"hathi"
"438","                                       A.G. Dickson                   C       1,316",112,"hathi"
"439","                                       C. Weguelin                    L       1,118",112,"hathi"
"440","                                       F.A. lnderwick                 L       1,062",112,"hathi"
"441","1880             4,239                 C.K. Freshfield                C       1,734",112,"hathi"
"442","                                       A.G. Dickson                   C       1,701",112,"hathi"
"443","                                       Hon. P.J. Stanhope             L       1,607",112,"hathi"
"444","                                       W.C.Walker                     L       1506",112,"hathi"
"445","Petitions:-",112,"hathi"
"446","         1833    Dismissed",112,"hathi"
"447","         1857    Withdrawn",112,"hathi"
"448","         1859    Dismissed",112,"hathi"
"449","         1865    Withdrawn",112,"hathi"
"450","         1868    Dismissed   (Dickson only)",112,"hathi"
"451","                                                     114",112,"hathi"
"452","",112,"hathi"
"453","                                          DROlTWICH         [64]",113,"hathi"
"454","Election         Electors            Candidate                         Votes",113,"hathi"
"455","1832              243              tJ.H.H. Foley                       Unopp.",113,"hathi"
"456","1835              285               J.    Bar neb y                C   128",113,"hathi"
"457","                                    J.H.H. Foley                   L   126",113,"hathi"
"458","1837              341               J.S. Pakington                 C   Unopp.",113,"hathi"
"459","1841              347               J.S. Pakington                 C   Unopp.",113,"hathi"
"460","1847              346               Sir J.S. Pakington, Bt.        c   Unopp.",113,"hathi"
"461","[Appointed Secretary of State for War and the Colonies]",113,"hathi"
"462","1852                                Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"463","(4/3)",113,"hathi"
"464","1852              367               Sir J.S. Pakington, Bt.        C   Unopp.",113,"hathi"
"465","1857              371               Sir J.S. Pakington, Bt.        c   Unopp.",113,"hathi"
"466","[Appointed First Lord of the Admiralty]",113,"hathi"
"467","1858                                Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"468","(3/3)",113,"hathi"
"469","1859              394               Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"470","1865              400               Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"471","[Appointed First Lord of the Admiralty]",113,"hathi"
"472","1866                                Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"473","(11/7)",113,"hathi"
"474","[Appointed Secretary of State for the War Department]",113,"hathi"
"475","1867                                Sir J.S. Pakington, Bt.            Unopp.",113,"hathi"
"476","(13/3)",113,"hathi"
"477","1868             1,532t             Sir J.S. Pakington, Bt.        C   790",113,"hathi"
"478","                                    J. Corbett                     L   603",113,"hathi"
"479","1874             1,377              J. Corbett                     L   787",113,"hathi"
