"","text","page","method","year"
"49","                      Vice-President and Director.",2,"hathi",1901
"50","ABRAHAM, ABRAHAM, 800 St. Mark's Avenue, Brooklyn.",2,"hathi",1901
"51","      Blrkbeck Investment Savings & Loan Co. of America, Vice-President and",2,"hathi",1901
"52","             Trustee.",2,"hathi",1901
"53","        Kings County Trust         Co., Trustee.",2,"hathi",1901
"54","ABRAMS, HERBERT T.,          100Broadway.",2,"hathi",1901
"55","         Pneumatic    Engineering Co., Secretary. Treasurer and Director.",2,"hathi",1901
"56","ABRAMSON, ISIDOR, 150 Nassau Street.",2,"hathi",1901
"57","        Pacific Loan Association, President and Director.",2,"hathi",1901
"58","ACHELIS, FRITZ, 9 Mercer Street.",2,"hathi",1901
"59","        American Hard Rubber Co., President and Director.",2,"hathi",1901
"60","        British Hosiery Co., President and Director.",2,"hathi",1901
"61","        Mossberg & Granville Manufacturing Co., Director.",2,"hathi",1901
"62","ACHELIS, THOMAS, 68 Leonard Street.",2,"hathi",1901
"63","        Gcrmania Life Insurance Co. of N. Y., The, Director.",2,"hathi",1901
"64","ACHER, HERMAN, 209 Bowery.",2,"hathi",1901
"65","        Hammacher, Schiemmer & Co., Director.",2,"hathi",1901
"66","ACHOR, SERVETUS T., 131 Liberty Street.",2,"hathi",1901
"67","        Achor Chocolate Co., President and Director.",2,"hathi",1901
"68","        Choco-Lactine Manufacturing Co., President and Director.",2,"hathi",1901
"69","ACKEN, JOHN, 13 William Street.",2,"hathi",1901
"70","        American Butter Co., Director.",2,"hathi",1901
"71","        American Vehicle Co., Secretary, Treasurer and Director.",2,"hathi",1901
"72","ACKEN, WILLIAM H., 84 Reade Street.",2,"hathi",1901
"73","        N. Y. Rubber Co., President, Treasurer, and Director.",2,"hathi",1901
"74","        Norfolk & New Brunswick Hosiery Co., Director.",2,"hathi",1901
"75","ACKER, EDWARD A., 275 Church Street.",2,"hathi",1901
"76","        Defiance Scuttle Lock Co., President and Director.",2,"hathi",1901
"77","ACKER, PETER B., 70 Beekman Street.",2,"hathi",1901
"78","        Union Stove Works. The, Treasurer and Director.",2,"hathi",1901
"79","ACKERMAN, A. K., 1880 West Ninety-fourth Street.",2,"hathi",1901
"80","        Strobe! & Wilken Co., The, Director.",2,"hathi",1901
"81","ACKERMAN, BENJAMIN G., 41 Pine Street.",2,"hathi",1901
"82","        American Union Life Insurance Co., Director.",2,"hathi",1901
"83","ACKERMAN, ERNEST R., 1 Broadway.",2,"hathi",1901
"84","        Lawrence Cement Co., President and Director.",2,"hathi",1901
"85","ACKERMAN, J. FRED, 66 Duane Street.",2,"hathi",1901
"86","        American Sulphur Co., Secretary and Director.",2,"hathi",1901
"87","ACKERMAN, WILLIAM W., 26 Cortlandt Street.",2,"hathi",1901
"88","        American Wood Fire Proofing Co., Director.",2,"hathi",1901
"89","        Metropolitan Construction & Supply Co., The, Secretary, Treasurer   and",2,"hathi",1901
"90","            Director.",2,"hathi",1901
"91","        N. Y. Parcel Dispatch Co., Director.",2,"hathi",1901
"92","ACKERMANN, CHARLES F., 26 Broadway.",2,"hathi",1901
"93","        German Alliance Insurance Co., Director.",2,"hathi",1901
"94","        German-American Insurance Co., Director.",2,"hathi",1901
"95","ACKERT, ALFRED T., 10 Wall Street.",2,"hathi",1901
"96","        American Institute, Trustee.",2,"hathi",1901
"97","ACKERT, NELSON L., 222 West Twenty-third Street.",2,"hathi",1901
"98","        Nassau Investment Co., Director.",2,"hathi",1901
"99","ACKLEY, CHARLES S., Ill Ei.st Twenty-fifth Street.",2,"hathi",1901
"100","        Sterllng-Meakcr Co., Secretary and Director.",2,"hathi",1901
"101","ADAMS, A. A., 19S Broadway.",2,"hathi",1901
"102","         Dennison Manufacturing Co., Director.",2,"hathi",1901
"103","ADAMS, A. L., 135 Broadway.",2,"hathi",1901
"104","         Investment Securities Co., Director.",2,"hathi",1901
"105","        U. S. Land Co., Manager and Director.",2,"hathi",1901
"106","",2,"hathi",1901
"107","                    DIRECTORY         OF DIRECTORS.",3,"hathi",1901
"108","",3,"hathi",1901
"109","ADAMS. AARON, M, Washing"""" Klrcel.",3,"hathi",1901
"110","         American Coal Co., Director.",3,"hathi",1901
"111","          Hudson Manufacturing Co., President and Director.",3,"hathi",1901
"112","         National Broadway Bank, Director.",3,"hathi",1901
"113","          Ohio & Kentucky Railway Co., Director.",3,"hathi",1901
"114","ADAMS,   ALBERT J., 33 West Thirtieth Street.",3,"hathi",1901
"115","         Karsch Brewing Co., Vice-President, Treasurer and Director.",3,"hathi",1901
"116","ADAMS,   ALBERT J., JR., 71 Broadway.",3,"hathi",1901
"117","         Karsch Brewing Co., Director.",3,"hathi",1901
"118","ADAMS,    ALLEN W., East One Hundred and Thirty-eighth Street, corner Gerard",3,"hathi",1901
"119","             Avenue.",3,"hathi",1901
"120","         Assurance Co. of America, Director.",3,"hathi",1901
"121","         Lafayette Fire Insurance Co., President and Director.",3,"hathi",1901
"122","         National Standard Insurance Co., Director.",3,"hathi",1901
"123","         Thomas Pressed Brick Co., The, Director.",3,"hathi",1901
"124","         Wiison & Adams Co., The, Vice-President and Director.",3,"hathi",1901
"125","ADAMS,   CALVIN T., 6 East Thirty-fourth Street.",3,"hathi",1901
"126","         Metallic Rubber Tire Co., President and Direotor.",3,"hathi",1901
"127","ADAMS,   CHARLES FRANCIS, 280 Broadway.",3,"hathi",1901
"128","         Westinghouse Electric & Manufacturing Co., Director.",3,"hathi",1901
"129","ADAMS,   CHARLES H., 31 Nassau Street.",3,"hathi",1901
"130","         Bank Clerks' Co-operative Building & Loan Association, Director.",3,"hathi",1901
"131","ADAMS.   EBEN, 141 Fifth Avenue.",3,"hathi",1901
"132","         Publishers' & Printers' Engraving Co., The, Director.",3,"hathi",1901
"133","ADAMS,   EDWARD D., 35 Wall Street.",3,"hathi",1901
"134","         American China Development Co., Director.",3,"hathi",1901
"135","         American Cotton Oil Co., The, Director.",3,"hathi",1901
"136","         Cataract Construction Co., President and Director.",3,"hathi",1901
"137","         Cataract Power & Conduit Co., Director.",3,"hathi",1901
"138","         Central & South American Telegraph Co., Director.",3,"hathi",1901
"139","         Chicago Terminal Transfer R.R. Co., Chairman of the Board of Directors.",3,"hathi",1901
"140","         Coeur d'Aleno Railway & Navigation Co., Director.",3,"hathi",1901
"141","         Drummond & Phil11psburg R. R. Co., Director.",3,"hathi",1901
"142","         Duluth & Crookston & Northern R. R., Director.",3,"hathi",1901
"143","         Duluth & Manitoba R. R., Director.",3,"hathi",1901
"144","         Fargo & Southwestern R. R., Director.",3,"hathi",1901
"145","         Helena & Jefferson County R.R., Director.",3,"hathi",1901
"146","         Helena & Northern R. R., Director.",3,"hathi",1901
"147","         Helena & Red Mountain R. R., Director.",3,"hathi",1901
"148","         Helena, Boulder Valley & Butte R. R., Director.",3,"hathi",1901
"149","         James River Valley R.R., Director.",3,"hathi",1901
"150","         Jamestown & Northern Extension R. R., Director.",3,"hathi",1901
"151","         Jamestown & Northern R. R., Director.",3,"hathi",1901
"152","         Little Falis & Dakota R. R., Director.",3,"hathi",1901
"153","         Mercantile Trust Co., Director.",3,"hathi",1901
"154","         Missoula & Bitter Root R. R., Director.",3,"hathi",1901
"155","         Montana Railway Co., Director.",3,"hathi",1901
"156","         N. J. General Security Co., Director.",3,"hathi",1901
"157","         Niagara Development Co., Director.",3,"hathi",1901
"158","         Niagara Falis Power Co., Director.",3,"hathi",1901
"159","         Niagara Junction Railway, Director.",3,"hathi",1901
"160","         Northern Pacific & Montana R. R., Director.",3,"hathi",1901
"161","         Northern Pacific Express Co., Director.",3,"hathi",1901
"162","         Northern Pacific, Fergus & Black Hill R. R., Direotor.",3,"hathi",1901
"163","         Northern Pacific, La Moure & Missouri River R. R., Director.",3,"hathi",1901
"164","         Northern Pacific R. R. Co., Director.",3,"hathi",1901
"165","         Northern Pacific Railway Co., Director.",3,"hathi",1901
"166","         Rocky Fork & Cooke City R. R. Co., Director.",3,"hathi",1901
"167","         Rocky Fork Coal Co., Director.",3,"hathi",1901
"168","                                    [Contlnued.J",3,"hathi",1901
"169","",3,"hathi",1901
"170","               THE AUDIT OOMrANY                OF NEW YORK.",4,"hathi",1901
"171","         Rocky   Mountain   R. R. of Montana,   Director.",4,"hathi",1901
"172","         Ht. Paul & Duluth K.R. Co., Director.",4,"hathi",1901
"173","         St. Paul & Northern Pacific Railway Co., Director.",4,"hathi",1901
"174","         Sanborn, Cooperstown & Twin Mountain R. R., Director.",4,"hathi",1901
"175","         Seattle & International R. R., Director.",4,"hathi",1901
"176","         Southeastern Dakota R. R., Director.",4,"hathi",1901
"177","         Spokane & Seattle Railway, Director.",4,"hathi",1901
"178","          Tonawanda Cataract Power Co., Director.",4,"hathi",1901
"179","          West Shore R.R., Director.",4,"hathi",1901
"180","ADAMS,   ERNEST K., 15 Broad Street.",4,"hathi",1901
"181","          Lambert Typewriter Co., Director.",4,"hathi",1901
"182","ADAMS,    EUGENE E., 37 Fulton Street.",4,"hathi",1901
"183","          Globe Wernicke Co., The, Vice-President, Manager and Director.",4,"hathi",1901
"184","ADAMS,   FREDERICK L., 37 Park Place.",4,"hathi",1901
"185","          Holmes, Booth & Haydens Co., Assistant Treasurer and Director.",4,"hathi",1901
"186","ADAMS,   FREDERICK T., 10 Wall Street.",4,"hathi",1901
"187","          Maple Grove Cemetery Association, Vice-President and Trustee.",4,"hathi",1901
"188","          Phoenix Gold Mining Co., Director.",4,"hathi",1901
"189","ADAMS,   GEOFFREY C, 31 Broadway.",4,"hathi",1901
"190","          Columbian Carbide Co., Secretary, Manager and Director.",4,"hathi",1901
"191","ADAMS,   GEORGE S., 100 William Street.",4,"hathi",1901
"192","          Aiden Speare's Sons Co., The, Secretary and Director.",4,"hathi",1901
"193","ADAMS,    GEORGE W., 184 Broadway.",4,"hathi",1901
"194","          American Service Union, Director.",4,"hathi",1901
"195","         Bankers' Adding Machine Co., Treasurer and Director.",4,"hathi",1901
"196","          Consumers' Paint & Varnish Co., Director.",4,"hathi",1901
"197","          Seventh National Bank, Cashier and Director.",4,"hathi",1901
"198","ADAMS,   HAROLD B., 1 Spencer Court.",4,"hathi",1901
"199","          Carison Co., The, President and Director.",4,"hathi",1901
"200","ADAMS,   HENRY C, 39 Cortlandt Street.",4,"hathi",1901
"201","          N. Y. & Ohio Coal Mining Co., President, Treasurer and Director.",4,"hathi",1901
"202","         Phillips Insulated Wire Co., President and Director.",4,"hathi",1901
"203","         Williamsport & North Branch R. R., Secretary, Treasurer and Director.",4,"hathi",1901
"204","ADAMS,   HENRY HERSCHEL, 177 Broadway.",4,"hathi",1901
"205","          Colonial Iron Co., President and Director.",4,"hathi",1901
"206","          Empire Consolidated Quicksilver Mining Co., First Vice-President and",4,"hathi",1901
"207","             Director.",4,"hathi",1901
"208","ADAMS,   HORATIO M., 156 Sands Street, Brooklyn.",4,"hathi",1901
"209","          Long Island Loan & Trust Co., The, Trustee.",4,"hathi",1901
"210","          Railway Automatic Sales Co., Director.",4,"hathi",1901
"211","ADAMS,   I VERS W., 204 Front Street.",4,"hathi",1901
"212","          American Net & Twine Co., Treasurer nnd Director.",4,"hathi",1901
"213","ADAMS,   JED E., JR., 625 Hudson Street.",4,"hathi",1901
"214","          Stuyvesant Insurance Co., Director.",4,"hathi",1901
"215","ADAMS,    JOHN C, 351 West One Hundred and Twenty-third Strest.",4,"hathi",1901
"216","          N. Y. & N. J. Bridge Co., Director.",4,"hathi",1901
"217","ADAMS,   JOHN D., 15 East Seventeenth Street.",4,"hathi",1901
"218","          Newson & Co., Secretary, Treasurer and Director.",4,"hathi",1901
"219","ADAMS,    JOHN D., 83 Eighth Avenue, Brooklyn.",4,"hathi",1901
"220","          Railway Automatic Sales Co., Director.",4,"hathi",1901
"221","ADAMS,   R. S., 6 East Thirty-fourth Street.",4,"hathi",1901
"222","         Metallic Rubber Tire Co., Director.",4,"hathi",1901
"223","ADAMS,   RICHARD H., 1511 Third Avenue.",4,"hathi",1901
"224","         Yorkville Bank, Second Vice-President and Director.",4,"hathi",1901
"225","ADAMS,   ROBERT A., 102 Barclay Street.",4,"hathi",1901
"226","         Adams & Co., Treasurer and Director.",4,"hathi",1901
"227","         Adams Bros. Co., Treasurer and Director.",4,"hathi",1901
"228","          Eastern Beef Co., Director.",4,"hathi",1901
"229","ADAMS,   ROBERT W., 11 John Street.",4,"hathi",1901
"230","          American Swedenborg Printing & Publishing Co., Director.",4,"hathi",1901
"231","",4,"hathi",1901
"232","                    DIRECTORY         OF DIRECTORS.",5,"hathi",1901
"233","",5,"hathi",1901
"234","ADAMS. SAMUEL, 129 West Eighty-fifth Street.",5,"hathi",1901
"235","       Adams Dry Goods Co., President, Treasurer     and   Director.",5,"hathi",1901
"236","ADAMS, T. ALBEUS, 102 Barclay Street.",5,"hathi",1901
"237","         Adams & Co., President and Director.",5,"hathi",1901
"238","         Adams Brothers Co., President and Director.",5,"hathi",1901
"239","         Eastern Beef Co., Director.",5,"hathi",1901
"240","         Gansevoort Bank, President and Director.",5,"hathi",1901
"241","         Gansevoort Cold Storage Co., Vice-President and Director.",5,"hathi",1901
"242","ADAMS, THOMAS, 150 Sands Street, Brooklyn.",5,"hathi",1901
"243","         American Chicle Co., Director.",5,"hathi",1901
"244","         Railway Automatic Sales Co., Director.",5,"hathi",1901
"245","ADAMS, THOMAS, JR., 1181 Broadway.",5,"hathi",1901
"246","         American Chicle Co., Chairman of the Board of Directors.",5,"hathi",1901
"247","         Bergen Beach Co., Treasurer and Director.",5,"hathi",1901
"248","         Globe Automatic Selling Co., President and Director.",5,"hathi",1901
"249","         International Self Lighting Gas Co., President and Director.",5,"hathi",1901
"250","         Railway Automatic Sales Co., Director.",5,"hathi",1901
"251","         Union Bank of Brooklyn, Vice-President and Director.",5,"hathi",1901
"252","         U. S. Nomatch Light Co., Director.",5,"hathi",1901
"253","ADAMS, THOMAS B., 71 Broadway.",5,"hathi",1901
"254","         South American Land & Exploration Co., Director.",5,"hathi",1901
"255","ADAMS, W. I. LINCOLN, 60 East Eleventh Street.",5,"hathi",1901
"256","         Scovtll & Adams Co. of N. Y., The, Director.",5,"hathi",1901
"257","ADAMSON, JAMES, 207 Broadway.",5,"hathi",1901
"258","         Booth Brothers & Hurricane Isle Granite Co., Assistant Secretary and",5,"hathi",1901
"259","             Director.",5,"hathi",1901
"260","ADEE, CHARLES T., 55 Liberty Street.",5,"hathi",1901
"261","         Adee Syndicate, President and Director.",5,"hathi",1901
"262","A DIKES,  JOHN, Jamaica, L. I.",5,"hathi",1901
"263","         Bank of Jamaica, Director.",5,"hathi",1901
"264","         Seaboard Telegraph & Telephone Co., Director.",5,"hathi",1901
"265","ADLER, CHARLES E., 74$ Broadway.",5,"hathi",1901
"266","         Fechheimer Fishol Co., The, Director.",5,"hathi",1901
"267","ADLER, FELIX, 123 East Sixtieth Street.",5,"hathi",1901
"268","         Tenement House Building Co., Director.",5,"hathi",1901
"269","ADLER, HERMAN, 320 Broadway.",5,"hathi",1901
"270","         Merrimack Woolen Milis Co., Director.",5,"hathi",1901
"271","ADLER, LOUIS, 49 Maiden Lane.",5,"hathi",1901
"272","         S. F. Myers Co., Vice-President and Director.",5,"hathi",1901
"273","ADLER, SIMON, 155 Broadway.",5,"hathi",1901
"274","         Empire City Savings Hank, Trustee.",5,"hathi",1901
"275","ADLERMAN, LOUIS, 39 Union Square, West.",5,"hathi",1901
"276","         Home Safeguard Co., Director.",5,"hathi",1901
"277","ADRIAN, C. L., 330 Bowery.",5,"hathi",1901
"278","         German Exchange Bank, Cashier and Director.",5,"hathi",1901
"279","ADRIAN, M. J., 330 Bowery.",5,"hathi",1901
"280","         German Exchange Bank, President and Director.",5,"hathi",1901
"281","ADRIANCE, JOHN E., 165 Greenwich Street.",5,"hathi",1901
"282","         Adrlance, Piatt & Co., Vice-President and Director.",5,"hathi",1901
"283","         Farmers' & Manufacturers' National Bank, Poughkeepsle, N. Y., Director.",5,"hathi",1901
"284","AFFELD, F. O., 22 Pine Street.",5,"hathi",1901
"285","         City Savings Bank, Brooklyn, Trustee.",5,"hathi",1901
"286","         N. Y. Surety Co., Trustee.",5,"hathi",1901
"287","AFFLECK, J. GELSTON, 323 Eleventh Avenue.",5,"hathi",1901
"288","         Eighth Avenue R.R., Secretary, Treasurer and Director.",5,"hathi",1901
"289","         Ninth Avenue R.R., Secretary, Treasurer and Director.",5,"hathi",1901
"290","",5,"hathi",1901
"291","           THE AUDIT COMPANY OF NEW YORK.",6,"hathi",1901
"292","AFFLECK, WILLIAM. JR.,       I   Madison   Avenue.",6,"hathi",1901
"293","         Eighth Avenue R.R. Co., Assistant Secretary,      Assistant Treasurer   and",6,"hathi",1901
"294","             Director.",6,"hathi",1901
"295","        Ninth Avenue R.R. Co., Assistant Secretary, Assistant Treasurer          and",6,"hathi",1901
"296","             Director.",6,"hathi",1901
"297","AGAR, JOHN, 17 Washington Place.",6,"hathi",1901
"298","        McGall-Ives-Agar Hat Curling Machine Co., Vice-President, Manager        and",6,"hathi",1901
"299","             Director.",6,"hathi",1901
"300","AGAR, JOHN G., 31 Nassau Street.",6,"hathi",1901
"301","        Mathieson Alkali Works, Director.",6,"hathi",1901
"302","         N. Y. Times Co., The, Vice-President and Director.",6,"hathi",1901
"303","        Nicaragua Co., Director.",6,"hathi",1901
"304","AGNEW, ANDREW GIFFORD, 45 Wall Street.",6,"hathi",1901
"305","        Continental National Bank, Director.",6,"hathi",1901
"306","        Farmers' Loan & Trust Co., Trustee.",6,"hathi",1901
"307","        Greenwich Savings Bank, Trustee.",6,"hathi",1901
"308","        Juarez Co., Director.",6,"hathi",1901
"309","        Rio Grande, Sierra Madre & Pacific R.R., Second Vice-President           and",6,"hathi",1901
"310","             Director.",6,"hathi",1901
"311","AGNEW, GEORGE B., 45 Wall Street..",6,"hathi",1901
"312","        Juarez Co., Treasurer and Director.",6,"hathi",1901
"313","        North Star Mines Co., Director.",6,"hathi",1901
"314","AGNEW, JOHN R., 917 Broadway.",6,"hathi",1901
"315","         Park & Tilford, Assistant Secretary and Director.",6,"hathi",1901
"316","AHEARN, J. F., 207 East Broadway.",6,"hathi",1901
"317","         Richardson, Smith & Co., Director.",6,"hathi",1901
"318","AHERN, DAVID P., 156 Fifth Avenue.",6,"hathi",1901
"319","         Bancroft Co. of N. Y., The. Secretary and Director.",6,"hathi",1901
"320","AHLBORN, AUGUST, 132 Church Street.",6,"hathi",1901
"321","         American Bronze Powder Manufacturing Co., Secretary and Director.",6,"hathi",1901
"322","AHLBORN, HENRY, 132 Church Street.",6,"hathi",1901
"323","         American Bronze Powder Manufacturing Co., President, Treasurer          and",6,"hathi",1901
"324","             Director.",6,"hathi",1901
"325","AHLERS, AHREND, 38 Beekman Street.",6,"hathi",1901
"326","         Consumers' Pie Baking Co., Director.",6,"hathi",1901
"327","AHLMANN, OTTO, 201 Bay Street, Stapleton, S. I.",6,"hathi",1901
"328","         Bank of Staten Island, Cashier and Director.",6,"hathi",1901
"329","         Richmond County Savings Bank, Trustee.",6,"hathi",1901
"330","AHNELT, WILLIAM P., 853 Broadway.",6,"hathi",1901
"331","         American Fashion Co., President, Treasurer, Manager and Director.",6,"hathi",1901
"332","AHRENS, JOHN H., 147 Chambers Street.",6,"hathi",1901
"333","         Retail Grocers' Publishing Co., Director.",6,"hathi",1901
"334","AHRENS, L. W., 180 Fulton Street.",6,"hathi",1901
"335","         Holly Silicate Slate Co., The, Director.",6,"hathi",1901
"336","AIKIN, JAMES C, 19 Maiden Lane.",6,"hathi",1901
"337","         Alkin-Lambert Co., President and Director.",6,"hathi",1901
"338","         Alkln-Lambert Jewelry Co., President and Director.",6,"hathi",1901
"339","          Idaho Consolidated Copper Mines Co., Treasurer and Director.",6,"hathi",1901
"340","         Jewelers Safety Fund Society, Vice-President and Director.",6,"hathi",1901
"341"," AIKMAN, CHARLES M., 93 Fifth Avenue.",6,"hathi",1901
"342","         Collins & Alkman Co., President and Director.",6,"hathi",1901
"343","AIKMAN, WALTER M., 25 Cliff Street.",6,"hathi",1901
"344","         Central Stamping Co., President and Director.",6,"hathi",1901
"345","         South Brooklyn Savings Institution, Trustee.",6,"hathi",1901
"346","AIMONE, CARLO A., 430 East Twenty-third Street.",6,"hathi",1901
"347","         Almone Manufacturing Co., President and Director.",6,"hathi",1901
"348","AIMONE, RAIMONDO C, 430 East Twenty-third Street.",6,"hathi",1901
"349","         Almone Manufacturing Co., Director.",6,"hathi",1901
"350","AINSLIE, ALLEN, 220 Broadway.",6,"hathi",1901
"351","         Hotel Register Co., Director.",6,"hathi",1901
"352","",6,"hathi",1901
"353","                    DIRECTORY         OF DIRECTORS.",7,"hathi",1901
"354","AITKEN, JOHN W.,     873 Broadway.",7,"hathi",1901
"355","       Bowery Savings Bank, Trustee.",7,"hathi",1901
"356","       Fifth Avenue Safe Deposit Co., Trustee.",7,"hathi",1901
"357","       Second National Bank of the City of N. Y., Director.",7,"hathi",1901
"358","AKIN, ALBERT J., 4 West Fifty-sixth Street.",7,"hathi",1901
"359","       American Coal Co., Director.",7,"hathi",1901
"360","       Enoch Morgan's Sons Co., Director.",7,"hathi",1901
"361","       Pawiing National Bank, Pawiing, N. Y., Director.",7,"hathi",1901
"362","ALBEE, ELLIOTT G., 181 Mercer Street.",7,"hathi",1901
"363","        E. P. Gleason Manufactory Co., Director.",7,"hathi",1901
"364","ALBERS, HENRY F., 33 Wall Street.",7,"hathi",1901
"365","        N. Y. Oil Development Co., The, Treasurer and Director.",7,"hathi",1901
"366","ALBERTSON, J. A., 66 Water Street, Brooklyn.",7,"hathi",1901
"367","       Nassau County Bank, Director.",7,"hathi",1901
"368","       W. H. Sweeney Manufacturing Co., President and Director.",7,"hathi",1901
"369","ALBRIGHT, J. P., 291 Broadway.",7,"hathi",1901
"370","        Madison Land Improvement Co., Vice-President and Director.",7,"hathi",1901
"371","ALBRIGHT, WILLIAM B., 397 Washington Street.",7,"hathi",1901
"372","        Mogul Drainage & Transportation      Tunnel & Mining & Milling Co., The,",7,"hathi",1901
"373","           Director.",7,"hathi",1901
"374","        N. Y. Air Compressor Co., Director.",7,"hathi",1901
"375","        Sherwin-Williams Co., The, Director.",7,"hathi",1901
"376","ALBRO, SOLOMON W., 123 West Sixty-first Street.",7,"hathi",1901
"377","       Greenwich Insurance Co., Director.",7,"hathi",1901
"378","       Peter Cooper Fire Insurance Co., Director.",7,"hathi",1901
"379","       U. S. Fire Insurance Co., Director.",7,"hathi",1901
"380","       U. S. Life Insurance Co., Director.",7,"hathi",1901
"381","       West Side Bank, Director.",7,"hathi",1901
"382","ALBRO, WILLIAM H., Third Avenue, corner East Ninth Street.",7,"hathi",1901
"383","       Peter Cooper Fire Insurance Co., Director.",7,"hathi",1901
"384","ALDCORN, THOMAS, 95 Liberty Street.",7,"hathi",1901
"385","       N. Y. Air Compressor Co., Director.",7,"hathi",1901
"386","ALDEN, ADELBERT H., 290 Broadway.",7,"hathi",1901
"387","       International Automobile & Vehicle Tire Co., Treasurer and Director.",7,"hathi",1901
"388","       N. Y. Commercial Co., Treasurer and Director.",7,"hathi",1901
"389","        N. Y. Produce Exchange Bank, Director.",7,"hathi",1901
"390","        Seamless Rubber Co., The, Director.",7,"hathi",1901
"391","ALDEN, GEORGE A., 290 Broadway.",7,"hathi",1901
"392","       N. Y. Commercial Co., President and Director.",7,"hathi",1901
"393","ALDRICH, FRANK E., 25 North Moore Street.",7,"hathi",1901
"394","       Worthen & Aldrich Co., Secretary and Director.",7,"hathi",1901
"395","ALDRICH, RICHARD, 154 Nassau Street.",7,"hathi",1901
"396","        Unadllla Valley Railway, Director.",7,"hathi",1901
"397","ALDRICH, WILLIAM P., 25 North Moore Street.",7,"hathi",1901
"398","        Domestic Exchange National Bank, Director.",7,"hathi",1901
"399","        Worthen & Aldrich Co., President and Director.",7,"hathi",1901
"400","ALDRIDGE, DARWIN R., 82 Burling Slip.",7,"hathi",1901
"401","       China & Japan Trading Co. (Limited), Treasurer and Director.",7,"hathi",1901
"402","ALDRIDGE, FREDERICK T., 203 Montague Street, Brooklyn.",7,"hathi",1901
"403","       Brooklyn Fire Brick Works, Director.",7,"hathi",1901
"404","ALEXANDER, ALLAN K., 17 William Street.",7,"hathi",1901
"405","       Acetyvone Manufacturing Co., President and Director.",7,"hathi",1901
"406","       Yates & Porterfleld Trading Co., Director.",7,"hathi",1901
"407","ALEXANDER, ARTHUR, 209 Produce Exchange.",7,"hathi",1901
"408","        Federal Contract Co., Secretary and Director.",7,"hathi",1901
"409","ALEXANDER, CHARLES B., 120 Broadway.",7,"hathi",1901
